,col_name,feat_import_rf
0,vge.alpha.rel_power,0.07146599875075069
1,vge.beta.rel_power,0.1
2,vge.gamma.rel_power,0.08
3,vge.theta.rel_power,0.0
4,vge.vgi.alpha.avg_coherence,0.0
5,vge.vgi.beta.avg_coherence,0.0
6,vge.vgi.gamma.avg_coherence,0.0022743344439216653
7,vge.vgi.theta.avg_coherence,0.0
8,vgi.alpha.rel_power,0.09
9,vgi.beta.rel_power,0.11209066834696309
10,vgi.gamma.rel_power,0.07
11,vgi.theta.rel_power,0.0
12,vsn.alpha.rel_power,0.0
13,vsn.beta.rel_power,0.0813126646812377
14,vsn.gamma.rel_power,0.08138600031262584
15,vsn.theta.rel_power,0.0013847850320151962
16,vsn.vge.alpha.avg_coherence,0.07
17,vsn.vge.beta.avg_coherence,0.0005359773819252173
18,vsn.vge.gamma.avg_coherence,0.07
19,vsn.vge.theta.avg_coherence,0.0024404299352705806
20,vsn.vgi.alpha.avg_coherence,0.027628184821957395
21,vsn.vgi.beta.avg_coherence,0.023441707527045615
22,vsn.vgi.gamma.avg_coherence,0.004584385153065459
23,vsn.vgi.theta.avg_coherence,0.001787756669285099
24,vth.alpha.rel_power,0.09541561484693453
25,vth.beta.rel_power,0.0
26,vth.gamma.rel_power,0.004682026901934639
27,vth.theta.rel_power,0.0
28,vth.vge.alpha.avg_coherence,0.0
29,vth.vge.beta.avg_coherence,0.00218729280711511
30,vth.vge.gamma.avg_coherence,5.996874954537245e-06
31,vth.vge.theta.avg_coherence,0.0
32,vth.vgi.alpha.avg_coherence,0.0
33,vth.vgi.beta.avg_coherence,0.0
34,vth.vgi.gamma.avg_coherence,0.0
35,vth.vgi.theta.avg_coherence,0.0003525828301934367
36,vth.vsn.alpha.avg_coherence,0.007023592682804202
37,vth.vsn.beta.avg_coherence,0.0
38,vth.vsn.gamma.avg_coherence,0.0
39,vth.vsn.theta.avg_coherence,0.0
